resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,enjoy_student,enjoy_learning,see_smart,studying_happy,describe_clever,calm_pressure,recover_setbacks,rarely_overwhelmed,handle_stress,emotionally_balanced,no_fear_speech,relaxed_speech,confident_speech,natural_leader,forget_speech,confused_speech
547d765b-a09c-40ad-92f4-531299291a88,gemma4:e2b,multiracial,first_gen,loans,public,16,low,sometimes,female,unemployed,abstains,smokes,games,science,social,never,empty,usually,3,4,4,3,3,3,4,2,4,3,4,3,4,3,3,3
66fa0adf-f517-45fb-b712-72a43295e529,gemma4:e2b,multiracial,non_first_gen,loans,private,17,great,sometimes,male,unemployed,abstains,neither,sports,math,social,never,apprehensive,always,5,5,5,4,5,4,5,2,4,4,2,3,3,4,3,3
a213ab47-6a65-483b-b857-d63d42fcad97,gemma4:e2b,asian,non_first_gen,pell_eligible,public,19,great,sometimes,female,full_time,abstains,vapes,sports,engineering,social,never,excellent,usually,5,4,5,4,5,5,5,2,5,4,5,4,5,4,1,1
2f9a68f3-55a6-4a4e-ba97-2e079003b6c8,gemma4:e2b,black,non_first_gen,family_pays,public,18,good,often,male,full_time,drinks,smokes,other,engineering,reserved,never,apprehensive,usually,4,4,4,3,5,3,4,3,2,3,2,2,3,3,3,3
33cdd815-6aec-4257-afbc-1e2175a38d57,gemma4:e2b,black,first_gen,pell_eligible,private,18,low,never,female,full_time,abstains,vapes,other,science,reserved,never,apprehensive,usually,3,4,3,3,4,3,4,3,3,3,1,2,2,1,4,3
d92d9da8-9173-42f2-9ea0-8bf5d8423839,gemma4:e2b,black,non_first_gen,pell_eligible,private,22,great,often,female,full_time,drinks,smokes,other,arts,social,often,apprehensive,always,3,4,5,3,4,3,3,4,3,3,2,1,2,3,4,3
7415ec6c-0cb3-41c8-a73a-37d5531a373f,gemma4:e2b,black,non_first_gen,family_pays,public,17,good,rarely,female,full_time,abstains,smokes,sports,math,reserved,often,empty,always,4,4,5,4,4,4,5,2,4,3,2,3,3,2,3,3
e12ae534-e4c5-453d-9065-f4839ecd3930,gemma4:e2b,white,non_first_gen,loans,private,17,good,often,female,full_time,drinks,vapes,music,business,social,often,excellent,always,3,4,5,3,5,4,4,3,3,3,5,3,5,4,4,3
04a72042-b1a1-46f9-bb93-a08a391ff5be,gemma4:e2b,asian,first_gen,loans,private,16,great,often,male,full_time,abstains,neither,music,math,reserved,often,apprehensive,always,3,5,4,3,4,3,4,3,2,3,2,3,3,3,4,4
2753c16e-4b5d-4127-a35f-bbf37eea7566,gemma4:e2b,white,first_gen,pell_eligible,private,18,good,sometimes,female,part_time,abstains,vapes,games,engineering,reserved,often,apprehensive,usually,4,4,5,3,5,3,4,3,1,3,1,3,2,3,4,3
875715a9-6fde-429b-a852-c515dcf09947,gemma4:e2b,black,non_first_gen,loans,public,19,good,often,female,part_time,drinks,neither,other,business,reserved,often,struggles,always,3,4,4,3,4,3,3,3,2,3,2,3,3,3,4,3
8a76b33a-7b4a-4b3b-96d1-3da424ecb9ec,gemma4:e2b,asian,non_first_gen,loans,public,16,low,sometimes,female,full_time,drinks,vapes,other,arts,reserved,never,articulate,always,3,4,4,3,3,3,4,2,1,3,2,3,3,2,4,3
a7b772f2-6290-47d8-84a9-599bf97b358b,gemma4:e2b,asian,non_first_gen,pell_eligible,private,16,low,often,female,part_time,drinks,neither,music,business,reserved,often,apprehensive,usually,1,2,3,2,3,3,2,4,1,1,2,1,2,3,4,3
ecf92e3e-535d-4e3d-85ea-a94816919601,gemma4:e2b,multiracial,non_first_gen,loans,public,17,good,never,female,unemployed,abstains,vapes,sports,arts,social,never,struggles,usually,5,5,5,4,5,4,5,2,4,3,4,3,4,4,2,3
910d80bd-e870-4864-af6f-04b5427349af,gemma4:e2b,asian,first_gen,pell_eligible,public,17,great,sometimes,male,full_time,drinks,neither,music,math,social,never,apprehensive,always,5,4,5,3,5,5,5,2,5,3,2,1,3,4,2,3
f1f31c5e-8636-4d7e-8475-cd1ab7cd8f88,gemma4:e2b,black,first_gen,pell_eligible,private,23,low,sometimes,male,part_time,drinks,smokes,sports,math,social,never,apprehensive,always,3,3,2,3,3,3,2,4,2,3,1,2,1,3,4,3
81386e18-b80c-44f7-8dfb-2b95b9e1a00d,gemma4:e2b,white,non_first_gen,loans,public,22,great,sometimes,male,unemployed,abstains,smokes,other,engineering,social,often,excellent,always,5,5,5,3,5,3,4,3,3,3,5,4,5,4,4,3
d11ef159-ce87-49a5-9459-7fe647ded2a6,gemma4:e2b,asian,non_first_gen,loans,public,16,modest,sometimes,male,unemployed,abstains,smokes,music,engineering,reserved,never,struggles,usually,3,3,3,3,3,3,5,2,3,2,2,2,2,3,3,3
7dea82a1-0984-4053-bb20-db1af7b44f4e,gemma4:e2b,multiracial,non_first_gen,pell_eligible,public,18,modest,never,male,unemployed,drinks,vapes,arts,math,social,often,articulate,usually,3,4,4,3,4,3,3,2,3,3,3,3,4,3,4,3
d730ef2e-ed6b-4ea9-9b80-6e15eeaaae51,gemma4:e2b,white,non_first_gen,family_pays,private,19,great,rarely,female,unemployed,abstains,vapes,music,engineering,reserved,often,apprehensive,always,3,5,5,3,5,3,3,3,3,3,1,2,2,3,3,3
3b1d4cb6-cb04-4555-83e2-152a9ef7c3fb,gemma4:e2b,black,non_first_gen,loans,public,22,great,rarely,male,full_time,drinks,smokes,arts,science,reserved,never,articulate,usually,5,4,5,4,5,4,5,2,4,3,4,4,5,4,3,3
8ee1c850-d045-4090-b1c1-391ca03f6562,gemma4:e2b,white,non_first_gen,loans,public,20,good,rarely,female,full_time,drinks,smokes,games,business,reserved,often,struggles,usually,4,4,5,3,4,3,3,3,3,3,2,3,3,3,4,3
e48ca339-ebe9-4a4f-ab17-ebc4bf396587,gemma4:e2b,asian,non_first_gen,family_pays,public,22,low,never,male,full_time,drinks,neither,arts,engineering,social,often,empty,always,3,4,3,3,3,3,4,2,3,3,4,3,4,3,4,3
32315319-c68a-43c0-a53d-28c1013f1126,gemma4:e2b,multiracial,first_gen,loans,private,17,great,rarely,male,part_time,abstains,vapes,music,business,reserved,often,empty,always,4,5,5,3,5,4,5,3,3,3,3,1,3,3,4,3
70ba8a08-b69a-4e33-a74e-cc1e1fe5f941,gemma4:e2b,multiracial,first_gen,family_pays,private,19,good,never,female,unemployed,drinks,neither,other,science,social,never,excellent,always,5,5,5,4,5,5,5,2,5,5,5,4,5,4,2,2
769810fe-73f1-49d3-9e58-5c96ab2daa61,gemma4:e2b,asian,first_gen,loans,private,20,great,never,female,part_time,drinks,vapes,other,business,reserved,never,articulate,always,4,5,5,3,5,5,5,2,4,3,3,4,5,4,2,3
535707e1-de26-4429-bb74-f00ceb8dde79,gemma4:e2b,black,first_gen,pell_eligible,public,23,great,often,female,unemployed,drinks,neither,music,science,reserved,never,apprehensive,usually,5,4,4,3,4,4,5,2,3,3,1,3,2,3,4,3
125184e2-4e8a-401f-8a4a-6a06a24c52f8,gemma4:e2b,black,non_first_gen,loans,private,20,great,often,female,part_time,abstains,neither,games,arts,reserved,often,apprehensive,usually,4,5,5,3,5,3,4,3,2,3,1,3,2,3,3,4
fa7bf3a0-05d8-472e-a8a8-b79655f195e6,gemma4:e2b,multiracial,non_first_gen,pell_eligible,private,17,modest,often,female,unemployed,abstains,smokes,games,arts,social,never,apprehensive,usually,4,4,3,3,3,3,4,2,4,3,2,2,2,3,4,3
23c60c00-258e-4392-8eb5-742fe7912c80,gemma4:e2b,white,first_gen,loans,public,21,good,rarely,female,part_time,abstains,neither,other,science,reserved,never,struggles,usually,4,4,5,4,5,4,5,2,4,4,3,3,3,3,4,3
15828989-cef3-46a5-81e8-2071b1f2cc95,gemma4:e2b,multiracial,first_gen,pell_eligible,private,17,low,sometimes,male,part_time,drinks,smokes,other,engineering,reserved,never,struggles,always,3,4,3,3,2,3,4,2,2,3,2,2,2,3,4,4
a2f02997-cbbb-4b96-ac9e-bc2fbbd033e4,gemma4:e2b,multiracial,first_gen,family_pays,public,16,good,often,female,part_time,drinks,neither,games,engineering,reserved,never,apprehensive,usually,4,5,4,3,5,3,4,3,4,3,2,3,2,3,3,3
a025c6e2-52ba-4abe-ab82-1fbf02f11139,gemma4:e2b,multiracial,non_first_gen,loans,public,18,low,rarely,male,full_time,abstains,neither,sports,arts,social,often,empty,usually,4,4,3,3,3,3,4,2,4,3,2,3,3,3,3,3
f5a868d9-65a2-419f-bdc6-ab37d2df4d76,gemma4:e2b,asian,non_first_gen,pell_eligible,private,19,great,sometimes,female,full_time,abstains,smokes,games,business,social,often,articulate,usually,5,4,4,3,5,4,4,2,4,3,3,3,3,4,2,3
12b6a995-09e4-4f8a-892f-f0758ba2639e,gemma4:e2b,asian,non_first_gen,family_pays,private,19,modest,rarely,female,part_time,drinks,neither,sports,math,social,often,articulate,always,3,4,4,3,3,3,4,2,4,3,4,3,4,3,4,3
92caf5be-fc76-4cd7-9fbd-8e26076c8ddc,gemma4:e2b,white,first_gen,family_pays,private,21,great,rarely,male,part_time,drinks,neither,other,math,reserved,never,articulate,usually,5,5,5,4,5,4,5,2,5,3,4,3,3,3,3,1
768a38ad-adb3-4415-a240-d8b9803d2240,gemma4:e2b,asian,first_gen,loans,private,21,great,rarely,male,part_time,abstains,vapes,other,math,social,never,apprehensive,usually,5,4,5,4,5,3,5,2,5,5,2,3,2,4,3,3
cd47860c-13c9-48d6-abe5-542d7609fabd,gemma4:e2b,white,first_gen,pell_eligible,public,21,great,rarely,female,full_time,abstains,neither,games,engineering,social,never,excellent,always,5,5,5,5,5,5,5,2,5,4,5,4,5,5,1,1
87c6c62f-49a3-4bea-99e8-2ea06dfc0838,gemma4:e2b,black,non_first_gen,pell_eligible,private,18,modest,rarely,female,part_time,drinks,vapes,music,arts,social,often,struggles,usually,4,3,3,3,4,3,4,3,3,3,2,3,3,3,4,3
b8e987fa-81ea-4bd9-8445-93b36324cadf,gemma4:e2b,black,non_first_gen,family_pays,private,19,great,sometimes,female,part_time,abstains,neither,other,science,reserved,never,apprehensive,always,5,4,5,4,4,3,4,2,3,3,2,3,2,3,3,3
735de5b0-dbfc-4c6d-80e4-0e956cecfcfe,gemma4:e2b,asian,non_first_gen,loans,public,18,low,often,male,full_time,abstains,smokes,music,science,social,often,empty,usually,3,3,3,3,3,3,3,3,2,3,2,2,2,2,4,3
c8ae0d51-7870-455b-83eb-1e7582250b9a,gemma4:e2b,multiracial,first_gen,pell_eligible,private,23,low,sometimes,male,full_time,abstains,vapes,games,arts,social,never,apprehensive,usually,3,4,3,3,4,3,4,3,2,3,1,3,3,3,4,3
819db7cb-dcd9-4480-8e7f-24bf4758b5bf,gemma4:e2b,black,non_first_gen,family_pays,private,19,great,never,male,full_time,drinks,neither,other,arts,reserved,never,articulate,always,5,5,5,3,5,5,5,2,5,3,4,4,5,5,2,2
d059be9a-8fda-43ce-aa8e-510cb82d67ca,gemma4:e2b,black,first_gen,loans,public,18,good,often,female,unemployed,abstains,smokes,games,science,reserved,never,excellent,always,5,4,4,4,5,5,5,2,4,3,5,3,5,3,4,3
e6df361c-f9a8-4fd9-b517-6ab4a824f5ba,gemma4:e2b,multiracial,non_first_gen,family_pays,private,21,good,sometimes,female,full_time,drinks,vapes,games,engineering,social,often,struggles,usually,4,4,5,4,5,3,4,2,3,3,5,3,4,3,3,3
8240272b-d63d-433c-9b06-e07bac9cae39,gemma4:e2b,asian,first_gen,loans,private,18,low,sometimes,female,part_time,drinks,vapes,arts,arts,social,often,apprehensive,usually,3,3,3,3,3,3,3,2,2,3,1,1,2,3,4,3
0537e257-76fb-46f7-a9a3-e11d9206211f,gemma4:e2b,white,first_gen,loans,public,16,great,sometimes,male,full_time,abstains,vapes,arts,science,reserved,never,empty,usually,5,5,5,3,5,3,5,2,4,3,4,3,4,2,4,3
347bb7a9-48a8-4107-a512-767afd835553,gemma4:e2b,white,first_gen,family_pays,private,16,good,rarely,male,unemployed,abstains,neither,sports,business,social,never,empty,usually,5,4,5,4,5,5,5,2,5,5,5,5,5,4,3,1
c980d774-2563-4c34-9bab-9632999bacca,gemma4:e2b,multiracial,first_gen,pell_eligible,private,18,modest,never,male,part_time,abstains,vapes,other,business,social,often,apprehensive,always,4,4,4,3,3,3,3,3,4,3,3,3,3,3,4,3
f1054821-2e2b-4b2c-a3bc-07dfc2c477da,gemma4:e2b,multiracial,non_first_gen,family_pays,public,19,great,rarely,female,full_time,abstains,neither,games,math,social,often,apprehensive,always,4,4,5,4,5,3,4,2,4,3,3,3,2,4,3,3
90b73cc7-6cf0-44b0-ae49-2c3fcd0708b8,gemma4:e2b,multiracial,non_first_gen,pell_eligible,private,22,low,often,male,part_time,abstains,smokes,arts,arts,social,never,empty,always,4,4,3,3,3,3,4,2,2,3,3,3,3,3,4,3
38279c7a-b523-4271-841f-16ec217a36a9,gemma4:e2b,asian,first_gen,family_pays,private,18,great,never,female,part_time,abstains,smokes,music,science,social,often,articulate,usually,5,5,5,4,5,5,5,3,5,4,4,4,5,4,2,3
505b27d5-780c-4196-8d4d-825c919a665f,gemma4:e2b,asian,first_gen,loans,private,20,great,often,female,unemployed,abstains,vapes,arts,math,reserved,never,apprehensive,usually,4,4,5,3,5,3,4,2,2,3,2,3,3,3,3,4
992946ec-4ee0-4353-826f-957df3ab0543,gemma4:e2b,black,first_gen,pell_eligible,private,20,great,rarely,female,full_time,drinks,neither,music,math,social,often,excellent,always,5,4,5,4,5,5,5,2,5,3,5,4,5,4,4,3
809487b2-90be-40dd-916c-58270a93e9a9,gemma4:e2b,asian,non_first_gen,family_pays,public,22,great,rarely,male,unemployed,abstains,vapes,arts,business,reserved,never,empty,usually,5,5,5,3,5,5,5,2,5,4,4,4,5,2,4,3
71aa447e-1523-41ad-8cd3-e80adf5e7d90,gemma4:e2b,asian,non_first_gen,loans,private,18,good,never,male,full_time,drinks,vapes,music,arts,reserved,never,excellent,usually,4,4,5,3,5,5,5,3,4,3,5,4,5,4,4,2
3619ea77-6335-4490-a672-ed68d77c63dd,gemma4:e2b,black,first_gen,pell_eligible,public,16,modest,rarely,female,full_time,drinks,neither,games,engineering,reserved,often,apprehensive,usually,3,3,3,3,3,3,3,3,2,3,2,1,2,3,4,3
2fba1190-697a-4b38-b01d-2537f965e548,gemma4:e2b,multiracial,first_gen,family_pays,private,19,low,often,male,part_time,abstains,vapes,music,business,social,never,apprehensive,usually,3,4,3,3,3,3,2,3,3,3,2,3,3,3,4,3
2a18902c-d3f5-4de3-91eb-68c35f3bb971,gemma4:e2b,multiracial,first_gen,loans,public,20,great,often,female,unemployed,abstains,smokes,music,math,social,never,excellent,always,5,5,5,5,5,5,5,2,4,3,5,4,5,5,3,1
c6ce079a-529d-4694-ae6a-b8f8ff15113d,gemma4:e2b,asian,first_gen,pell_eligible,private,17,low,rarely,male,full_time,abstains,neither,music,math,reserved,never,apprehensive,always,3,3,2,3,3,3,3,2,3,3,1,2,1,1,4,3
d9765706-e48b-4282-b9b5-973218fefb0e,gemma4:e2b,white,first_gen,pell_eligible,public,18,great,sometimes,male,unemployed,drinks,neither,arts,engineering,social,never,apprehensive,usually,5,5,4,3,5,4,5,2,3,3,1,3,3,3,4,3
3ae89d8f-f421-4005-84f5-1250f24ec5b3,gemma4:e2b,multiracial,non_first_gen,loans,public,17,great,rarely,female,part_time,abstains,neither,arts,business,social,never,apprehensive,usually,5,5,5,4,5,4,5,2,5,3,2,3,3,4,3,3
40195884-1a51-4a40-a431-70411f35c76d,gemma4:e2b,multiracial,non_first_gen,family_pays,public,16,low,sometimes,male,unemployed,drinks,neither,sports,business,reserved,often,articulate,usually,3,3,3,2,3,3,3,3,2,3,2,1,2,3,4,3
3990f823-1c06-4b1c-8c4a-d54bd9de4cdb,gemma4:e2b,multiracial,first_gen,pell_eligible,public,18,modest,rarely,male,full_time,abstains,smokes,sports,arts,reserved,never,excellent,always,3,4,3,4,3,5,5,2,4,3,5,3,5,3,1,1
2b604fb2-eaf3-497b-a112-884d4ee0f050,gemma4:e2b,white,first_gen,loans,public,18,modest,rarely,male,unemployed,abstains,neither,sports,math,social,never,empty,usually,4,4,3,3,4,4,5,4,5,3,3,3,4,4,3,2
831e15b5-f7bb-4d55-9f2a-b60215499d7c,gemma4:e2b,asian,non_first_gen,loans,public,21,low,sometimes,female,full_time,abstains,neither,sports,math,social,never,apprehensive,always,4,4,3,3,4,3,3,4,3,3,1,2,2,3,4,3
af7b2041-953b-4544-b633-f9fdaf61f858,gemma4:e2b,black,first_gen,loans,public,21,low,rarely,female,full_time,drinks,smokes,other,business,reserved,often,empty,always,3,4,3,3,3,3,4,4,3,3,3,3,2,3,4,3
83b1e6d4-6dfc-4eff-8ed1-b4d159655f14,gemma4:e2b,asian,first_gen,family_pays,public,17,great,never,female,part_time,drinks,smokes,sports,math,reserved,often,apprehensive,always,3,4,5,4,5,5,4,3,2,3,2,3,2,3,4,3
09485ec8-7989-49f8-8f00-67cc7425967c,gemma4:e2b,white,non_first_gen,family_pays,private,23,good,sometimes,male,part_time,drinks,neither,other,science,social,often,empty,usually,4,4,5,3,5,3,4,2,4,3,4,3,4,4,3,3
114af0a6-2c9f-4422-9733-cf3e774b6020,gemma4:e2b,white,first_gen,pell_eligible,public,21,low,sometimes,male,full_time,drinks,vapes,games,math,social,often,excellent,always,3,3,3,3,3,3,3,3,2,3,5,3,4,4,3,3
acdcd530-ae0a-4078-a88e-b2ee86331eae,gemma4:e2b,white,first_gen,loans,private,18,good,rarely,female,full_time,abstains,vapes,arts,science,social,never,apprehensive,always,5,5,5,3,5,5,5,2,5,3,2,3,3,3,4,3
1aa39ec5-7a86-45f8-91d7-766b95cf36a9,gemma4:e2b,asian,first_gen,pell_eligible,public,20,good,often,male,full_time,drinks,vapes,music,business,social,often,excellent,usually,3,4,5,3,5,3,4,2,3,3,5,3,4,3,4,3
5b3bdf0f-d82d-44eb-a243-02d37ad83113,gemma4:e2b,white,first_gen,loans,private,16,modest,never,male,unemployed,abstains,vapes,arts,science,social,never,empty,usually,4,4,4,4,4,5,3,5,4,3,5,3,4,3,4,3
4c370b37-765c-426f-98fa-4f81af6fd13e,gemma4:e2b,black,non_first_gen,loans,private,22,modest,never,male,full_time,drinks,neither,arts,science,social,often,articulate,usually,3,4,3,5,4,4,4,2,4,3,4,3,4,4,4,3
fb2ae67f-55e4-4084-8306-1c1183ccdfb7,gemma4:e2b,black,non_first_gen,pell_eligible,public,16,good,often,female,part_time,abstains,vapes,arts,arts,social,often,articulate,always,5,4,3,4,4,3,5,2,3,3,4,3,3,4,3,3
7befd7d1-ea63-484d-9420-480b4f6aad02,gemma4:e2b,multiracial,first_gen,pell_eligible,public,19,good,often,male,part_time,abstains,vapes,music,engineering,reserved,never,excellent,always,4,5,5,3,4,4,5,2,5,3,5,4,5,3,2,1
a7874f13-b4a0-416c-b2bc-c9b793d9355e,gemma4:e2b,multiracial,non_first_gen,pell_eligible,private,22,modest,never,male,full_time,abstains,smokes,games,math,reserved,often,articulate,usually,3,4,3,3,4,3,4,3,3,3,3,3,3,2,3,3
c02a0eac-d6bf-46b4-b02e-178753671833,gemma4:e2b,white,first_gen,loans,private,20,low,rarely,male,full_time,drinks,vapes,other,engineering,reserved,often,excellent,always,2,4,3,3,3,3,3,2,1,3,5,3,5,2,4,3
cd7e16f1-ba54-4ca5-9dac-b5a13daeef83,gemma4:e2b,black,non_first_gen,family_pays,private,20,good,often,female,part_time,abstains,vapes,other,business,reserved,never,articulate,always,5,5,5,4,5,5,4,2,4,3,4,4,4,4,3,3
9c459c4e-384b-4e89-8d4d-96a0f7fc3b6c,gemma4:e2b,white,non_first_gen,family_pays,private,20,great,rarely,female,full_time,drinks,smokes,music,arts,social,never,apprehensive,always,4,5,5,5,5,4,5,2,5,3,2,3,5,5,4,3
df681b6c-4940-47ee-8a63-48d9f1ccef71,gemma4:e2b,asian,non_first_gen,family_pays,public,17,modest,never,male,full_time,drinks,neither,other,engineering,reserved,often,empty,always,3,4,3,3,4,3,4,2,3,1,3,2,2,1,4,3
14253db8-04a2-40a5-bda3-7b0df3598450,gemma4:e2b,white,non_first_gen,family_pays,public,22,great,rarely,male,unemployed,drinks,vapes,games,business,reserved,often,excellent,usually,3,4,5,3,5,5,4,3,4,3,4,3,5,4,3,3
9cfda160-2b4e-4eb2-997d-ab15dcf4b6a6,gemma4:e2b,asian,non_first_gen,family_pays,public,23,low,rarely,male,full_time,drinks,vapes,other,science,social,often,apprehensive,usually,3,4,3,3,3,3,4,3,3,3,2,3,2,3,4,3
e780b159-c004-41d4-9806-7ba916fc6f72,gemma4:e2b,asian,non_first_gen,loans,private,16,low,rarely,male,part_time,drinks,vapes,sports,science,reserved,never,struggles,usually,3,3,3,2,3,3,3,2,4,3,2,1,2,1,4,3
bc79bbe3-92b4-4a9d-ad0d-995af1eae8b8,gemma4:e2b,black,first_gen,loans,public,17,low,sometimes,male,unemployed,abstains,vapes,sports,engineering,social,never,excellent,always,4,4,3,3,5,4,5,2,4,3,5,3,5,3,4,3
