Unnamed: 0,resid,model,race,first_gen,financial_status,high_school,age,grades,trouble,gender,job_status,alcohol,smoking,hobbies,major,sociability,homesickness,communication,honesty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
24,6c786642-f184-4ad1-9e52-643f0223acc6,qwen3.5:9b,black,first_gen,loans,private,20,good,sometimes,male,full_time,drinks,vapes,music,science,reserved,often,articulate,usually,5,4,4,1,2,1,3,1,3,3,1,1,3,3,3,3
25,5bb91725-44e0-413b-bf88-a530753ad4be,qwen3.5:9b,asian,non_first_gen,pell_eligible,private,21,good,rarely,female,full_time,abstains,smokes,music,engineering,social,never,articulate,usually,4,4,4,5,3,4,5,2,2,5,1,3,4,3,3,3
26,209dae5a-3430-4ce1-bafa-341d09dbd1ee,qwen3.5:9b,white,non_first_gen,loans,private,17,modest,often,male,full_time,drinks,neither,other,arts,reserved,often,struggles,usually,3,3,4,3,5,3,5,2,4,2,2,3,3,3,3,3
27,69b26dfa-7988-4969-8c59-5380eef352a3,qwen3.5:9b,white,non_first_gen,family_pays,private,17,modest,never,male,full_time,drinks,vapes,other,business,reserved,often,apprehensive,always,3,5,3,3,4,3,2,3,3,2,3,1,2,3,3,
28,31843fcd-f7eb-462c-b0f9-f5510e6c0bb5,qwen3.5:9b,black,non_first_gen,pell_eligible,private,17,low,never,female,unemployed,abstains,vapes,arts,business,social,often,excellent,usually,3,3,4,1,5,3,4,2,3,3,4,4,4,4,2,3
29,30b1222b-e07c-4ee9-a29f-5aac63b22b66,qwen3.5:9b,multiracial,first_gen,loans,public,21,good,rarely,female,part_time,drinks,smokes,other,arts,reserved,often,struggles,always,4,5,4,3,5,5,5,3,4,1,3,4,3,3,3,3
30,5d8af7a5-0ddf-4401-9e17-8a14693a2b13,qwen3.5:9b,multiracial,first_gen,pell_eligible,private,18,low,never,male,full_time,abstains,vapes,music,arts,reserved,never,apprehensive,always,4,4,3,4,2,3,3,3,3,2,1,5,2,3,3,4
31,1776f44a-cd7c-471a-bd0e-c069262f5447,qwen3.5:9b,black,first_gen,loans,private,16,modest,never,male,unemployed,drinks,smokes,arts,business,social,never,struggles,usually,3,4,4,4,1,2,4,5,3,3,2,3,3,4,3,3
32,97b1c498-7cb3-46c9-b0c2-b782d69b12f3,qwen3.5:9b,asian,non_first_gen,loans,private,20,modest,rarely,male,unemployed,abstains,neither,other,arts,social,often,empty,always,3,3,4,3,5,3,4,3,4,4,4,2,3,3,3,3
33,adb930f8-81e2-42f1-8c4c-0c89771dbf1b,qwen3.5:9b,black,first_gen,pell_eligible,private,20,modest,often,male,part_time,drinks,smokes,other,engineering,reserved,never,empty,usually,5,5,4,2,5,2,5,4,3,4,5,4,3,3,3,3
34,97e351c2-088d-42e9-8a3b-819430db901e,qwen3.5:9b,black,first_gen,family_pays,private,21,good,sometimes,female,part_time,drinks,vapes,other,science,reserved,often,excellent,always,3,4,4,1,3,4,4,5,4,3,5,5,4,4,3,2
35,e35df0b2-2056-4c1f-9a04-661cb059f4c4,qwen3.5:9b,asian,non_first_gen,loans,private,20,great,sometimes,female,full_time,abstains,neither,sports,business,reserved,often,articulate,usually,3,3,4,3,1,3,3,5,4,3,5,3,3,4,3,3
36,cb74136b-2187-4028-8bdc-b506d6c2e3e2,qwen3.5:9b,black,first_gen,loans,public,22,low,never,male,part_time,abstains,neither,sports,math,reserved,often,articulate,always,1,4,2,2,5,1,3,1,3,2,4,2,3,3,3,3
37,2f09323c-5cf4-4123-842b-9590c8e0cd0d,qwen3.5:9b,asian,non_first_gen,pell_eligible,private,20,good,often,male,full_time,abstains,neither,arts,engineering,social,never,apprehensive,always,4,2,4,3,2,4,3,3,2,4,5,1,3,3,3,4
38,3c0cf472-79b3-4f67-a5bb-fb0222ecefc9,qwen3.5:9b,asian,first_gen,family_pays,public,23,great,sometimes,female,part_time,drinks,smokes,arts,engineering,reserved,often,excellent,usually,4,5,4,3,3,3,5,2,1,3,2,4,4,4,,
39,65a746e6-70ea-4641-8032-a00f862a5b96,qwen3.5:9b,asian,non_first_gen,pell_eligible,private,19,low,sometimes,female,unemployed,abstains,neither,other,arts,social,never,excellent,always,5,4,2,3,1,5,1,3,1,3,4,4,4,3,3,2
40,a07d368c-fb9f-4a97-ade2-f25a430471ed,qwen3.5:9b,black,non_first_gen,family_pays,public,17,great,often,male,unemployed,abstains,smokes,arts,engineering,social,never,empty,usually,2,4,4,4,4,4,2,1,1,1,4,2,4,4,3,3
41,b8ec46d5-1dc2-4fd1-990d-198ac6fbfaa0,qwen3.5:9b,black,first_gen,family_pays,private,21,great,never,female,full_time,drinks,neither,games,arts,reserved,never,empty,usually,4,3,4,3,3,4,4,5,1,4,3,2,3,4,3,3
42,1224f521-7e0f-4ac1-a982-db1ed9567ce5,qwen3.5:9b,white,non_first_gen,pell_eligible,private,20,low,sometimes,male,unemployed,drinks,smokes,arts,math,social,often,excellent,always,1,4,3,5,4,1,3,3,3,3,5,2,4,4,3,3
43,ba544ae9-0a7b-40f9-af0c-f0e0b83ed802,qwen3.5:9b,white,first_gen,pell_eligible,private,22,low,rarely,male,full_time,abstains,neither,arts,math,reserved,often,articulate,usually,2,5,2,5,2,3,5,4,3,5,3,3,3,3,3,3
44,5430f91b-9bbc-49d7-bd5d-74372590e1ac,qwen3.5:9b,asian,first_gen,loans,public,17,low,often,male,unemployed,abstains,smokes,other,math,social,often,apprehensive,always,3,3,4,2,3,3,3,5,5,4,4,5,2,3,3,
45,8c46f4e4-3209-4337-a1dd-40c41003b684,qwen3.5:9b,black,first_gen,pell_eligible,public,22,great,sometimes,female,part_time,abstains,vapes,sports,engineering,social,often,apprehensive,usually,4,3,4,2,4,1,4,3,3,4,5,2,3,3,3,3
46,e26a4a0d-66e2-4e62-a8cf-8a02bcab9c8b,qwen3.5:9b,multiracial,non_first_gen,family_pays,public,22,modest,sometimes,male,unemployed,abstains,smokes,sports,math,reserved,often,struggles,always,3,4,5,2,3,3,2,3,3,5,2,2,3,3,3,3
47,99cd0ccc-1d0e-4fe2-b43b-e856cf0d7a1d,qwen3.5:9b,white,first_gen,loans,public,21,modest,rarely,male,unemployed,abstains,neither,sports,business,social,never,articulate,usually,1,4,3,3,3,4,5,3,3,3,2,2,4,,3,3
48,5a48e979-661e-49e3-adf4-5955b85df3cc,qwen3.5:9b,white,first_gen,pell_eligible,private,20,good,never,female,full_time,drinks,smokes,sports,math,social,often,apprehensive,always,3,1,4,3,4,3,3,3,4,3,4,2,3,3,,3
49,70d81ffb-2055-4fa1-ac8f-75ac0d40e2eb,qwen3.5:9b,asian,non_first_gen,loans,private,19,low,never,male,part_time,drinks,vapes,other,engineering,social,never,struggles,always,4,4,3,3,3,3,3,3,3,4,2,2,3,3,3,3
50,2cad6248-67d3-4c06-bf63-9960c9b66b24,qwen3.5:9b,multiracial,non_first_gen,pell_eligible,private,19,great,sometimes,female,full_time,abstains,smokes,games,math,reserved,never,empty,usually,5,4,4,1,4,3,3,3,3,1,5,4,3,3,3,3
51,9e7e23f6-ef99-4e5b-b3e0-ba5f9e25e80e,qwen3.5:9b,asian,first_gen,pell_eligible,private,21,good,often,female,unemployed,abstains,neither,games,science,social,often,empty,usually,5,4,5,4,2,3,2,4,3,5,3,3,3,3,3,3
52,0980f53d-d8e7-422a-a696-399c23ea52aa,qwen3.5:9b,black,first_gen,family_pays,private,16,modest,rarely,male,part_time,drinks,vapes,arts,arts,reserved,often,articulate,always,4,3,3,3,5,3,3,2,3,2,3,3,3,3,3,3
53,bce38291-f6ae-487e-aa58-a7d93e00b359,qwen3.5:9b,multiracial,first_gen,loans,private,17,great,sometimes,female,unemployed,abstains,vapes,games,science,reserved,often,struggles,usually,4,2,4,4,4,3,1,1,3,3,3,4,3,3,3,3
54,55e10335-8331-4ecc-b831-f2273429ea80,qwen3.5:9b,black,first_gen,pell_eligible,private,23,low,never,male,unemployed,abstains,vapes,sports,math,social,often,excellent,always,2,4,5,3,2,4,2,4,3,5,4,3,4,4,,2
55,ecd827c4-9aa3-4fcf-8e50-2ab465d90b2a,qwen3.5:9b,black,non_first_gen,loans,public,19,modest,sometimes,female,part_time,drinks,smokes,games,science,social,never,empty,always,4,4,3,5,4,3,1,3,1,3,3,3,3,3,3,3
56,f504b69c-0934-449b-8302-c7269486a70c,qwen3.5:9b,multiracial,non_first_gen,pell_eligible,public,22,modest,rarely,male,unemployed,abstains,neither,music,business,reserved,often,articulate,always,3,1,3,3,1,5,3,2,5,5,3,2,3,3,3,3
57,b5c0bf40-e7a1-4512-8174-ff1c610979f1,qwen3.5:9b,white,first_gen,loans,private,16,modest,sometimes,male,part_time,abstains,vapes,music,math,reserved,never,excellent,usually,1,2,4,3,4,4,1,3,3,3,2,2,4,4,3,2
58,2c469d97-0edb-46b1-86fe-a4e8d98f01bf,qwen3.5:9b,white,first_gen,family_pays,public,22,good,often,female,unemployed,abstains,vapes,arts,engineering,social,never,empty,usually,4,3,5,4,4,1,3,3,5,3,4,3,4,4,3,3
59,bebf0fc6-2b7f-48a9-8ca1-cae3be847536,qwen3.5:9b,asian,first_gen,loans,public,17,modest,rarely,female,part_time,drinks,smokes,games,math,social,often,articulate,usually,3,4,2,5,3,2,2,4,3,3,1,3,3,4,3,3
60,523d50d8-c4a4-445d-b134-3b54747673d9,qwen3.5:9b,multiracial,non_first_gen,loans,public,17,low,rarely,male,part_time,drinks,smokes,arts,engineering,social,never,apprehensive,usually,1,1,3,4,1,3,1,3,5,1,2,3,3,3,3,3
61,79584842-dcc2-4a1d-9da5-f1399a1ad695,qwen3.5:9b,white,first_gen,pell_eligible,public,20,modest,sometimes,female,unemployed,drinks,neither,sports,business,reserved,never,empty,usually,1,4,3,3,3,3,5,3,3,5,3,1,3,3,3,3
62,37ec34c6-9b07-434a-b269-51871dccce25,qwen3.5:9b,asian,non_first_gen,family_pays,private,23,low,never,male,full_time,abstains,neither,sports,science,reserved,never,excellent,usually,3,4,1,5,4,2,3,3,2,3,2,4,4,3,2,2
63,b3eaf578-f1e8-4f21-a281-b3648eb45c90,qwen3.5:9b,multiracial,first_gen,pell_eligible,private,19,great,never,female,unemployed,abstains,neither,games,math,social,never,struggles,always,3,4,4,4,4,1,4,5,4,2,5,4,3,4,3,3
64,2a5fadbd-3d8d-4072-b016-be2adca10232,qwen3.5:9b,white,non_first_gen,loans,public,18,good,often,female,part_time,drinks,smokes,sports,math,social,never,excellent,usually,4,2,4,3,1,4,2,3,3,3,4,3,4,4,2,2
65,c407b8cf-7ca1-4a3e-90a0-01d1b6cf3ea4,qwen3.5:9b,multiracial,non_first_gen,family_pays,private,17,great,rarely,male,full_time,drinks,smokes,other,science,reserved,often,struggles,always,3,4,5,4,3,4,4,1,3,1,3,2,3,3,3,3
66,b791a18c-d5f7-46a0-bf97-a97c98d3cf4d,qwen3.5:9b,white,first_gen,loans,private,21,low,rarely,male,full_time,drinks,neither,sports,science,reserved,often,articulate,usually,3,2,5,3,2,4,3,1,3,1,1,1,3,3,3,3
67,5a01cf75-4380-4822-b577-918646b63884,qwen3.5:9b,multiracial,non_first_gen,family_pays,public,16,great,never,female,part_time,drinks,neither,music,business,social,never,struggles,always,4,3,4,1,2,3,1,3,4,5,4,3,3,4,3,3
68,d85d18e4-d70f-4cdd-983d-3e31fea197cf,qwen3.5:9b,multiracial,first_gen,loans,private,16,low,sometimes,male,part_time,drinks,neither,music,math,reserved,never,excellent,always,3,3,4,4,5,5,4,2,2,4,5,3,4,4,3,2
69,d8fed9bc-0088-4d0e-a65c-a0a95153add6,qwen3.5:9b,black,first_gen,family_pays,public,16,modest,sometimes,male,full_time,drinks,smokes,sports,engineering,social,never,articulate,always,2,4,3,3,4,3,4,5,1,5,1,2,3,4,3,3
70,9368f52e-ad71-4667-a93d-0d74e00a01a7,qwen3.5:9b,white,non_first_gen,pell_eligible,public,21,great,often,female,part_time,abstains,vapes,other,science,social,often,empty,usually,4,1,2,1,2,5,3,4,2,1,4,3,3,4,3,3
71,5ee7204a-bb1c-41a5-a12c-1322dbcad56c,qwen3.5:9b,asian,non_first_gen,pell_eligible,private,21,low,never,male,full_time,drinks,neither,arts,engineering,reserved,often,excellent,usually,4,4,3,3,3,4,5,4,2,3,5,1,4,3,3,2
72,1689630e-c32c-4ce4-b7c0-df43cc34b74e,qwen3.5:9b,white,non_first_gen,family_pays,public,16,great,rarely,female,full_time,drinks,smokes,other,arts,reserved,never,articulate,always,4,3,4,3,5,2,4,4,2,4,3,3,3,3,3,3
73,d73d0b6e-acf0-43bf-a5e8-42f7873d6c3c,qwen3.5:9b,black,first_gen,family_pays,public,18,low,rarely,male,full_time,drinks,smokes,sports,business,reserved,often,apprehensive,always,5,4,3,2,3,5,3,5,2,3,2,2,2,2,,3
74,a7cf53b4-5114-4a9a-bf02-a2a54e327e08,qwen3.5:9b,multiracial,non_first_gen,loans,public,22,great,never,female,full_time,drinks,smokes,other,math,social,often,empty,always,1,5,4,4,4,4,1,1,5,3,3,3,4,3,3,3
75,8c528115-17e3-43a7-8860-0ae15a97b67e,qwen3.5:9b,asian,first_gen,loans,private,18,low,never,female,full_time,drinks,neither,other,math,reserved,often,struggles,usually,3,4,2,5,4,3,4,3,3,3,3,3,3,3,3,3
76,672d5b7e-6bf6-4bb4-abc6-c57c038b061f,qwen3.5:9b,white,non_first_gen,pell_eligible,public,16,modest,sometimes,female,part_time,abstains,smokes,arts,science,reserved,never,excellent,usually,2,4,4,5,2,5,3,2,3,3,5,4,4,4,3,3
77,bfd28487-9b8e-4fad-a382-ad7584daad75,qwen3.5:9b,black,non_first_gen,family_pays,private,18,great,never,female,full_time,drinks,smokes,games,engineering,social,never,articulate,always,1,5,2,4,5,5,4,3,2,3,1,2,4,4,3,3
78,34c76458-25bc-4e1b-a2fa-230529d33091,qwen3.5:9b,multiracial,non_first_gen,family_pays,public,21,low,often,female,unemployed,abstains,vapes,sports,math,reserved,never,excellent,always,5,3,1,3,4,3,4,3,3,3,2,4,4,4,1,2
79,3149e7b8-2286-4a9c-8781-8d646ff396fd,qwen3.5:9b,white,first_gen,loans,public,17,great,sometimes,female,full_time,drinks,neither,sports,arts,reserved,never,empty,usually,2,1,3,1,4,3,4,1,5,3,3,3,3,3,3,3
80,7e405e77-f479-4a1f-b1e1-ffc965715c75,qwen3.5:9b,multiracial,non_first_gen,loans,private,19,good,rarely,male,unemployed,abstains,vapes,music,science,reserved,never,apprehensive,usually,4,5,5,4,1,3,3,4,3,1,3,2,2,3,3,4
81,d91c0551-56c6-43a4-9fdb-37752481ed09,qwen3.5:9b,black,non_first_gen,loans,private,16,great,sometimes,male,unemployed,abstains,vapes,other,arts,social,never,excellent,always,4,1,2,3,3,4,4,3,1,2,5,4,4,4,,3
82,97fc454d-6d69-4bd3-b065-1662b715e7b7,qwen3.5:9b,multiracial,non_first_gen,pell_eligible,private,20,good,sometimes,female,part_time,drinks,vapes,music,science,social,never,apprehensive,always,4,4,4,3,4,1,4,4,2,3,3,2,3,3,3,3
83,0d0f68a2-abf7-422a-b590-239634510000,qwen3.5:9b,white,non_first_gen,loans,public,17,good,never,male,unemployed,abstains,neither,music,science,reserved,often,apprehensive,usually,1,3,4,4,4,2,3,3,4,2,4,1,2,3,3,4
84,97aa558f-a47a-441a-97c6-7099d83b7539,qwen3.5:9b,multiracial,non_first_gen,pell_eligible,private,16,low,often,male,part_time,drinks,vapes,music,arts,reserved,never,empty,always,5,1,2,5,1,2,2,4,1,4,3,4,3,3,3,3
85,b8011f4f-8616-480d-84a3-8a9fcc8bb7f0,qwen3.5:9b,multiracial,non_first_gen,family_pays,private,19,modest,sometimes,male,part_time,drinks,smokes,arts,math,social,never,empty,always,3,4,5,3,4,5,1,4,3,4,3,4,4,4,3,3
86,ba08f40d-fbd1-4bd3-a745-a652da5c7771,qwen3.5:9b,multiracial,first_gen,loans,private,16,low,sometimes,female,part_time,abstains,smokes,arts,engineering,social,never,empty,usually,3,4,3,3,4,1,4,4,3,3,4,1,3,4,3,3
87,4c35cba3-b32a-42ac-b768-9038e7e64218,qwen3.5:9b,black,first_gen,pell_eligible,private,23,good,rarely,male,unemployed,drinks,smokes,other,business,social,never,struggles,usually,4,4,4,4,2,2,4,3,1,4,5,3,3,4,3,3
88,798c10e4-da28-4ac4-a80d-d0da5dc4d303,qwen3.5:9b,black,non_first_gen,family_pays,private,18,modest,sometimes,female,part_time,abstains,neither,games,business,social,never,apprehensive,usually,4,5,2,3,4,3,2,2,2,4,5,3,3,3,3,3
89,9115896c-7947-46a6-b35a-4dd8942940eb,qwen3.5:9b,black,first_gen,loans,public,22,low,often,female,part_time,drinks,neither,arts,arts,reserved,never,struggles,always,3,4,2,5,3,5,3,4,5,1,3,1,3,3,3,3
90,4f60c3f8-dce3-44b3-9799-9b3f353c37bf,qwen3.5:9b,multiracial,non_first_gen,pell_eligible,private,19,modest,never,male,unemployed,abstains,vapes,arts,arts,reserved,often,excellent,usually,4,4,1,3,4,3,1,5,1,3,4,4,4,3,3,3
91,602919a0-e133-4085-8df7-b473557395cd,qwen3.5:9b,asian,non_first_gen,loans,private,23,low,rarely,female,full_time,abstains,neither,music,math,social,often,articulate,always,2,1,1,1,2,4,4,4,1,3,3,5,3,3,3,2
92,735e9342-043d-4b3a-ace1-221a432e71f7,qwen3.5:9b,asian,non_first_gen,family_pays,private,16,modest,sometimes,female,unemployed,abstains,neither,games,math,reserved,never,empty,always,4,4,3,5,3,4,3,3,5,5,3,5,3,2,3,3
93,179a91bd-ab28-4cb1-b968-9462731418b0,qwen3.5:9b,asian,first_gen,family_pays,private,19,low,sometimes,male,part_time,drinks,smokes,arts,arts,social,often,articulate,always,3,4,3,4,2,3,3,2,5,3,4,4,4,3,3,3
94,51ba48f0-345c-4cd0-a272-378836e0a0e6,qwen3.5:9b,asian,first_gen,family_pays,private,18,modest,rarely,female,unemployed,abstains,smokes,other,science,reserved,never,articulate,usually,1,1,4,4,4,2,2,2,3,4,3,3,3,3,3,3
95,c990bb80-d54a-4c54-88cb-5e52a379ed66,qwen3.5:9b,multiracial,first_gen,family_pays,public,21,modest,rarely,male,full_time,abstains,smokes,games,business,reserved,often,apprehensive,always,5,1,3,3,3,2,4,4,3,4,4,2,2,2,3,4
96,f8721b8d-09b5-4ee5-9d1c-dbfde0a77f5c,qwen3.5:9b,black,first_gen,loans,private,19,modest,never,female,part_time,abstains,smokes,music,engineering,reserved,never,excellent,usually,2,3,3,4,3,4,2,3,4,3,4,2,4,3,2,3
97,853525d1-df02-4629-a907-7e335cb27660,qwen3.5:9b,asian,first_gen,loans,public,17,modest,often,male,unemployed,abstains,vapes,other,science,reserved,often,struggles,usually,3,4,1,4,1,3,5,4,1,3,4,5,3,3,3,3
98,f3975315-f4e2-475f-91a0-3692b7b88af1,qwen3.5:9b,asian,non_first_gen,pell_eligible,public,17,modest,often,male,part_time,drinks,vapes,arts,arts,social,often,excellent,usually,3,4,4,5,1,1,1,2,1,3,4,5,4,4,3,3
99,15b9d0a9-f6e3-4c75-8d8a-39f5d7e078ae,qwen3.5:9b,multiracial,non_first_gen,pell_eligible,public,19,modest,rarely,female,full_time,drinks,smokes,other,business,social,never,empty,usually,3,4,1,3,1,4,3,3,1,3,5,5,3,3,3,3
