row,resid,question,original_response,nan_reason
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q6,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q7,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q7,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q7,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q7,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q7,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q7,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q7,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q8,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q8,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q8,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q8,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q8,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q8,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q8,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q9,,Left blank / originally empty
2,7ceacc3f-3771-4d7f-bb23-2bd8f624c8ce,Q9,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q9,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q9,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q9,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q9,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q9,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q9,,Left blank / originally empty
0,c7992b8f-31ab-4beb-9a2a-d7b6a9c76bdf,Q10,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q10,,Left blank / originally empty
2,7ceacc3f-3771-4d7f-bb23-2bd8f624c8ce,Q10,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q10,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q10,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q10,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q10,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q10,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q10,,Left blank / originally empty
0,c7992b8f-31ab-4beb-9a2a-d7b6a9c76bdf,Q11,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q11,,Left blank / originally empty
2,7ceacc3f-3771-4d7f-bb23-2bd8f624c8ce,Q11,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q11,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q11,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q11,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q11,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q11,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q11,,Left blank / originally empty
0,c7992b8f-31ab-4beb-9a2a-d7b6a9c76bdf,Q12,,Left blank / originally empty
1,4fb7a95f-1515-48bd-b722-01cf585b20bc,Q12,,Left blank / originally empty
2,7ceacc3f-3771-4d7f-bb23-2bd8f624c8ce,Q12,,Left blank / originally empty
3,15dc14c0-2b01-4707-ab08-513113271c0d,Q12,,Left blank / originally empty
4,5fd4e1b1-5f11-4a98-8b1f-10e603939a5c,Q12,,Left blank / originally empty
5,5125daeb-6a49-4269-b67a-77b6b89269dd,Q12,,Left blank / originally empty
6,31c4b532-8c2b-4b0b-8571-ed7bb11dcec8,Q12,,Left blank / originally empty
7,6630f1a3-6b90-48db-8d24-3772a4e980f2,Q12,,Left blank / originally empty
8,c4a48a06-4a8d-4975-a7e5-a7353569a6a2,Q12,,Left blank / originally empty
9,29c51f6b-cb36-42f4-938b-c44a3856b956,Q12,,Left blank / originally empty
